City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Asfi,MA,73.98,overcast clouds,32.2994,-9.2372,Hôtel Abda
9,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
10,Bandarbeyla,SO,77.49,broken clouds,9.4942,50.8122,JABIR HOTEL
21,Dingle,PH,76.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
23,Marsa Matruh,EG,73.47,clear sky,31.3525,27.2453,Beau Site
26,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
27,Rosetta,EG,74.73,clear sky,31.4044,30.4164,Green Valley
29,Ponta Do Sol,PT,75.7,overcast clouds,32.6667,-17.1,Hotel do Campo
30,Paralimni,CY,77.14,overcast clouds,35.0375,33.9833,Amore Hotel Apartments
32,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
40,Lolodorf,CM,71.17,moderate rain,3.2333,10.7333,Auberge la cité
41,Meulaboh,ID,74.68,light rain,4.1363,96.1285,Kost Pria
46,Kinango,KE,75.31,broken clouds,-4.1372,39.3153,Legacy Hotel
52,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
53,Mossendjo,CG,74.34,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
60,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
62,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,Le four à pain
65,Mbaiki,CF,73.29,light rain,3.8678,17.9892,Motel MBM
71,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
74,Grand Baie,MU,72.07,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
75,Saint George,US,78.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
78,Pinjaur,IN,72.63,clear sky,30.7972,76.9172,OYO 28153 Hotel Green Tree
79,Hamilton,US,76.39,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
82,Luziania,BR,78.49,broken clouds,-16.2525,-47.9503,HOTEL SARON
