City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,51.91,46,75,12.66,broken clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,66.22,80,75,11.5,broken clouds
2,Agadez,NE,19.75,10.25,91.94,14,1,6.8,clear sky
3,Hermanus,ZA,-34.4187,19.2345,58.8,77,1,11.43,clear sky
4,Bialogard,PL,54.007,15.9875,60.75,63,92,9.4,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,49.66,46,75,9.22,broken clouds
6,East London,ZA,-33.0153,27.9116,66.6,79,86,9.22,overcast clouds
7,Bayan,CN,46.0833,127.4,31.5,44,0,4.94,clear sky
8,Asfi,MA,32.2994,-9.2372,73.98,65,100,18.48,overcast clouds
9,Mahebourg,MU,-20.4081,57.7,71.89,73,40,9.22,scattered clouds
10,Bandarbeyla,SO,9.4942,50.8122,77.49,85,79,18.03,broken clouds
11,Manadhoo,MV,5.7667,73.3833,81.21,79,85,16.89,overcast clouds
12,Port Hawkesbury,CA,45.6169,-61.3485,65.8,70,75,11.5,broken clouds
13,Bredasdorp,ZA,-34.5322,20.0403,56.14,72,15,7.83,few clouds
14,Tevriz,RU,57.509,72.4042,47.01,89,100,1.74,overcast clouds
15,Busselton,AU,-33.65,115.3333,53.69,54,68,9.62,broken clouds
16,Hithadhoo,MV,-0.6,73.0833,82.74,74,94,17.4,moderate rain
17,Tsogni,GA,-2.7942,10.0988,76.68,83,92,8.23,overcast clouds
18,Qaanaaq,GL,77.484,-69.3632,9.07,73,92,7.49,overcast clouds
19,Bubaque,GW,11.2833,-15.8333,82.8,75,8,9.64,clear sky
20,Ancud,CL,-41.8697,-73.8203,51.64,78,98,21.74,overcast clouds
21,Dingle,PH,10.9995,122.6711,76.55,91,94,6.78,overcast clouds
22,Iqaluit,CA,63.7506,-68.5145,33.53,93,100,6.91,light snow
23,Marsa Matruh,EG,31.3525,27.2453,73.47,56,0,16.4,clear sky
