City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-09-26 22:20:04,-33.9258,18.4232,56.91,78,0,2.3
1,Ariguani,CO,2022-09-26 22:24:48,10.25,-74.0,81.68,80,100,3.65
2,Clyde River,CA,2022-09-26 22:24:49,70.4692,-68.5914,34.03,100,75,4.61
3,Castro,BR,2022-09-26 22:24:49,-24.7911,-50.0119,57.6,98,100,5.53
4,Torbay,CA,2022-09-26 22:24:50,47.6666,-52.7314,62.28,92,100,18.41
5,Yar-Sale,RU,2022-09-26 22:24:51,66.8333,70.8333,27.46,92,56,12.24
6,Busselton,AU,2022-09-26 22:24:51,-33.65,115.3333,48.87,89,2,5.82
7,Usinsk,RU,2022-09-26 22:24:51,65.9939,57.5281,29.75,72,100,6.91
8,Souillac,MU,2022-09-26 22:24:52,-20.5167,57.5167,71.98,64,40,11.5
9,Nampula,MZ,2022-09-26 22:24:52,-15.1165,39.2666,67.95,77,0,6.91
10,Ilulissat,GL,2022-09-26 22:24:53,69.2167,-51.1,39.22,81,75,2.3
11,Belyy Yar,RU,2022-09-26 22:24:53,53.6039,91.3903,40.89,100,75,2.24
12,Hermanus,ZA,2022-09-26 22:24:53,-34.4187,19.2345,56.8,83,72,1.68
13,Awbari,LY,2022-09-26 22:24:54,26.5921,12.7805,86.97,21,0,9.51
14,Port Alfred,ZA,2022-09-26 22:24:54,-33.5906,26.891,62.19,91,100,8.99
15,Amot,NO,2022-09-26 22:24:55,59.5714,7.9877,47.77,98,100,3.51
16,Lebyazhye,RU,2022-09-26 22:24:55,55.2689,66.4947,32.7,98,100,16.96
17,Beinamar,TD,2022-09-26 22:24:56,8.6698,15.3813,71.46,94,100,4.14
18,Port Elizabeth,ZA,2022-09-26 22:19:59,-33.918,25.5701,63.1,97,100,17.27
19,Saint George,US,2022-09-26 22:24:56,37.1041,-113.5841,95.43,15,0,5.75
20,Sinnamary,GF,2022-09-26 22:24:57,5.3833,-52.95,80.4,83,1,14.23
21,Saint-Francois,FR,2022-09-26 22:24:58,46.4154,3.9054,51.24,93,100,6.91
22,Saint-Louis,SN,2022-09-26 22:24:58,16.3333,-15.0,85.64,47,57,7.14
23,Chuy,UY,2022-09-26 22:24:59,-33.6971,-53.4616,58.53,91,15,3.87
24,Jamestown,US,2022-09-26 22:21:43,42.097,-79.2353,53.02,76,100,12.66
25,Bulnes,CL,2022-09-26 22:24:59,-36.7423,-72.2985,63.36,72,80,4.36
26,Qaqortoq,GL,2022-09-26 22:25:00,60.7167,-46.0333,44.58,92,100,16.98
27,Goderich,CA,2022-09-26 22:25:00,43.7501,-81.7165,58.91,82,100,17.27
28,Danielskuil,ZA,2022-09-26 22:25:00,-28.1887,23.5395,58.06,32,39,9.6
29,Lagoa,PT,2022-09-26 22:25:01,39.05,-27.9833,69.85,68,100,17.4
